AIRMASS
BITPIX
BSCALE
BZERO
CAMERA
CCD-TEMP
CCDMEAN
CCDMEANT
CCDPROC
CCDSEC
COMMENT
DARKTIME
DATE
DATE-OBS
DEC
DETECTOR
DEWAR
EXPTIME
EXTEND
FILTER
FILTER1
FILTER2
GAIN
HA
HISTORY
IMAGEID
INSTRUME
IRAF-TLM
IRAFNAME
KWDICT
LTM1_1
LTM2_2
LTV2
NAXIS
NAXIS1
NAXIS2
OBJCTDEC
OBJCTRA
OBJECT
OBJEPOCH
OBSERVAT
OBSERVER
ORIGIN
OVERSCAN
RA
RDNOISE
RDRATE
SIDETIME
SIMPLE
TELDEC
TELESCOP
TELRA
TIME-OBS
TIMESYS
TRIM
WAT0_001
WAT1_001
WAT2_001
WCSDIM
XBINNING
YBINNING
